Town code/village code,Rural/Urban,Tehsil Name,District,sanitation_quantile,Sanitation_index,wealth_index_quantile,wealth_index
451361,Rural,Vijaypur,Sheopur ,2,-1.09105685,1,-1.805476368
451363,Rural,Vijaypur,Sheopur ,1,-1.189641001,1,-1.957706894
451365,Rural,Vijaypur,Sheopur ,1,-1.221813864,1,-2.10154198
451366,Rural,Vijaypur,Sheopur ,4,-0.02942231708,3,-0.5163345642
451367,Rural,Vijaypur,Sheopur ,1,-1.189306173,4,0.8904218121
451368,Rural,Vijaypur,Sheopur ,3,-0.7314562131,2,-1.077832664
451369,Rural,Vijaypur,Sheopur ,1,-1.171198046,1,-2.094314565
451370,Rural,Vijaypur,Sheopur ,2,-1.09537796,3,-0.8415792998
451371,Rural,Vijaypur,Sheopur ,2,-0.9375269479,4,0.1086543944
451372,Rural,Vijaypur,Sheopur ,3,-0.6422541169,1,-1.655557232
451373,Rural,Vijaypur,Sheopur ,1,-1.225818165,1,-1.723413494
451374,Rural,Vijaypur,Sheopur ,1,-1.215731712,1,-1.641698766
451376,Rural,Vijaypur,Sheopur ,1,-1.184944405,3,-0.9068291258
451377,Rural,Vijaypur,Sheopur ,1,-1.155742906,4,-0.2546587537
451378,Rural,Vijaypur,Sheopur ,1,-1.137319811,2,-1.308361618
451379,Rural,Vijaypur,Sheopur ,1,-1.140371406,3,-0.5437642037
451380,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.22299874
451381,Rural,Vijaypur,Sheopur ,2,-0.9751103399,2,-1.467826207
451382,Rural,Vijaypur,Sheopur ,2,-0.9792922761,4,-0.1166621031
451383,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.552525598
451384,Rural,Vijaypur,Sheopur ,2,-1.057840975,1,-1.948707218
451385,Rural,Vijaypur,Sheopur ,1,-1.187519154,1,-2.246859045
451386,Rural,Vijaypur,Sheopur ,1,-1.20080922,2,-1.574539007
451387,Rural,Vijaypur,Sheopur ,2,-1.124548949,3,-0.6910202887
451388,Rural,Vijaypur,Sheopur ,3,-0.848698959,1,-1.968912258
451389,Rural,Vijaypur,Sheopur ,2,-1.124391728,2,-1.095821232
451390,Rural,Vijaypur,Sheopur ,4,-0.5176065953,2,-1.244444723
451391,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.64308719
451392,Rural,Vijaypur,Sheopur ,3,-0.8727844239,2,-1.028248468
451393,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.180400319
451394,Rural,Vijaypur,Sheopur ,1,-1.164576755,1,-1.828003996
451395,Rural,Vijaypur,Sheopur ,1,-1.21178629,1,-1.967680965
451396,Rural,Vijaypur,Sheopur ,1,-1.151743976,1,-1.852494865
451398,Rural,Vijaypur,Sheopur ,1,-1.167160884,2,-1.571472045
451399,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.049223193
451400,Rural,Vijaypur,Sheopur ,2,-0.9662891501,2,-1.462716611
451401,Rural,Vijaypur,Sheopur ,1,-1.145963885,3,-0.8278808793
451402,Rural,Vijaypur,Sheopur ,3,-0.904807428,3,-0.6476549003
451403,Rural,Vijaypur,Sheopur ,1,-1.213632189,2,-1.382170737
451404,Rural,Vijaypur,Sheopur ,1,-1.227795081,2,-1.553659492
451405,Rural,Vijaypur,Sheopur ,1,-1.19742606,2,-1.31573416
451406,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.091813264
451407,Rural,Vijaypur,Sheopur ,1,-1.229753235,1,-1.908105703
451408,Rural,Vijaypur,Sheopur ,2,-1.080059279,3,-0.9501823358
451409,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-1.910590545
451410,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.120789959
451411,Rural,Vijaypur,Sheopur ,1,-1.233826765,3,-0.8013803512
451412,Rural,Vijaypur,Sheopur ,1,-1.19512823,1,-1.649961821
451413,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-1.718128803
451414,Rural,Vijaypur,Sheopur ,1,-1.191604973,3,-0.5509552377
451415,Rural,Vijaypur,Sheopur ,1,-1.197164995,2,-1.413813128
451416,Rural,Vijaypur,Sheopur ,1,-1.233826765,2,-1.615561436
451417,Rural,Vijaypur,Sheopur ,1,-1.233826765,2,-1.08726508
451418,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-1.66973862
451420,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-3.044170475
451421,Rural,Vijaypur,Sheopur ,2,-1.06070174,1,-2.566678699
451422,Rural,Vijaypur,Sheopur ,1,-1.205312055,1,-1.72132064
451423,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.17600935
451425,Rural,Vijaypur,Sheopur ,2,-1.050319234,2,-1.361146465
451426,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.295198707
451427,Rural,Vijaypur,Sheopur ,1,-1.215574491,2,-1.406439293
451429,Rural,Vijaypur,Sheopur ,1,-1.209767317,1,-1.672009906
451430,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.245232165
451431,Rural,Vijaypur,Sheopur ,1,-1.159679916,1,-2.043154397
451432,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-1.981866026
451433,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.165828091
451434,Rural,Vijaypur,Sheopur ,1,-1.197649602,1,-1.873056188
451435,Rural,Vijaypur,Sheopur ,3,-0.8366934957,2,-1.035492916
451436,Rural,Vijaypur,Sheopur ,1,-1.21956941,1,-2.149902446
451437,Rural,Vijaypur,Sheopur ,1,-1.171499357,2,-1.228074014
451438,Rural,Vijaypur,Sheopur ,1,-1.169648611,3,-0.9111049982
451439,Rural,Vijaypur,Sheopur ,2,-1.109525417,1,-2.279416907
451440,Rural,Vijaypur,Sheopur ,3,-0.9094784281,1,-1.683696613
451441,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-1.635968942
451442,Rural,Vijaypur,Sheopur ,1,-1.177527164,3,-0.6024765036
451443,Rural,Vijaypur,Sheopur ,4,-0.001826957543,4,0.3051578319
451444,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.351424153
451445,Rural,Vijaypur,Sheopur ,1,-1.199647219,2,-1.067066078
451447,Rural,Vijaypur,Sheopur ,4,-0.2760044986,2,-1.401304796
451448,Rural,Vijaypur,Sheopur ,3,-0.8658911407,2,-1.324799554
451449,Rural,Vijaypur,Sheopur ,1,-1.233826765,1,-2.824990284
451451,Rural,Vijaypur,Sheopur ,1,-1.20734882,2,-1.380326631
451452,Rural,Vijaypur,Sheopur ,2,-1.115011484,1,-1.873015892
451453,Rural,Vijaypur,Sheopur ,2,-1.025426504,1,-1.893521157
451454,Rural,Vijaypur,Sheopur ,4,-0.1206312371,1,-1.769430039
451457,Rural,Vijaypur,Sheopur ,1,-1.209800963,1,-2.854480722
451458,Rural,Vijaypur,Sheopur ,1,-1.221813864,1,-1.89675116
451459,Rural,Vijaypur,Sheopur ,2,-1.132496345,3,-0.8805840633
